ticker,cex,symbolToken,scToken,decToken,tickerPair,symbolPair,scPair,decPair,chain,modalCtD,modalDtC,minPnl
"WOO","binance","WOOUSDT","0xcafcd85d8ca7ad1e1c6f82f651fa15e33aefd07b","18","USDT","","0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9","6","arbitrum","100","100","0.2"
"ADA","binance","ADAUSDT","0x3ee2200efb3400fabb9aacf31297cbdd1d435d47","18","USDT","","0x55d398326f99059ff775485246999027b3197955","18","bsc","20","15","0.04"
"ANKR","binance","ANKRUSDT","0xf307910a4c7bbc79691fd374889b36d8531b08e3","18","USDT","","0x55d398326f99059ff775485246999027b3197955","18","bsc","20","15","0.04"
"AUCTION","binance","AUCTIONUSDT","0x1188d953afc697c031851169eef640f23ac8529c","18","BNB","BNBUSDT","0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c","18","bsc","20","15","0.04"
"BNT","binance","BNTUSDT","0xa069008a669e2af00a86673d9d584cfb524a42cc","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","20","15","0.04"
"CYBER","binance","CYBERUSDT","0x14778860e937f509e651192a90589de711fb88a9","18","USDT","","0x55d398326f99059ff775485246999027b3197955","18","bsc","20","15","0.04"
"DOGE","binance","DOGEUSDT","0xba2ae424d960c26247dd6c32edc70b295c744c43","8","USDT","","0x55d398326f99059ff775485246999027b3197955","18","bsc","20","15","0.04"
"EDU","binance","EDUUSDT","0xbdeae1ca48894a1759a8374d63925f21f2ee2639","18","USDT","","0x55d398326f99059ff775485246999027b3197955","18","bsc","20","15","0.04"
"ETC","binance","ETCUSDT","0x3d6545b08693dae087e957cb1180ee38b9e3c25e","18","UNI","UNIUSDT","0xbf5140a22578168fd562dccf235e5d43a02ce9b1","18","bsc","20","15","0.04"
"ETC","binance","ETCUSDT","0x3d6545b08693dae087e957cb1180ee38b9e3c25e","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","20","15","0.04"
"FIL","binance","FILUSDT","0x0d8ce2a99bb6e3b7db580ed848240e4a0f9ae153","18","USDT","","0x55d398326f99059ff775485246999027b3197955","18","bsc","20","15","0.04"
"KNC","binance","KNCUSDT","0xfe56d5892bdffc7bf58f2e84be1b2c32d21c308b","18","BNB","BNBUSDT","0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c","18","bsc","20","15","0.04"
"LTC","binance","LTCUSDT","0x4338665cbb7b2485a8855a139b75d5e34ab0db94","18","XVS","XVSUSDT","0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63","18","bsc","20","15","0.04"
"MAV","binance","MAVUSDT","0xd691d9a68c887bdf34da8c36f63487333acfd103","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","20","15","0.04"
"PARTI","binance","PARTIUSDT","0x59264f02d301281f3393e1385c0aefd446eb0f00","18","USDT","","0x55d398326f99059ff775485246999027b3197955","18","bsc","20","15","0.04"
"RESOLV","binance","RESOLVUSDT","0xda6cef7f667d992a60eb823ab215493aa0c6b360","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","20","15","0.04"
"SAND","binance","SANDUSDT","0x67b725d7e342d7b611fa85e859df9697d9378b2e","18","EDU","EDUUSDT","0xbdeae1ca48894a1759a8374d63925f21f2ee2639","18","bsc","20","15","0.04"
"SCRT","binance","SCRTUSDT","0x02dd18e4981da3fc7363fe56f3b81d1860b44ea7","18","USDT","","0x55d398326f99059ff775485246999027b3197955","18","bsc","20","15","0.04"
"SHELL","binance","SHELLUSDT","0xf2c88757f8d03634671208935974b60a2a28bdb3","18","USDT","","0x55d398326f99059ff775485246999027b3197955","18","bsc","20","15","0.04"
"SOLV","binance","SOLVUSDT","0xabe8e5cabe24cb36df9540088fd7ce1175b9bc52","18","USDT","","0x55d398326f99059ff775485246999027b3197955","18","bsc","20","15","0.04"
"STO","binance","STOUSDT","0xdaf1695c41327b61b9b9965ac6a5843a3198cf07","18","USDT","","0x55d398326f99059ff775485246999027b3197955","18","bsc","20","15","0.04"
"THE","binance","THEUSDT","0xf4c8e32eadec4bfe97e0f595add0f4450a863a11","18","USDT","","0x55d398326f99059ff775485246999027b3197955","18","bsc","20","15","0.04"
"TUSD","binance","TUSDUSDT","0x40af3827f39d0eacbf4a168f8d4ee67c121d11c9","18","USDT","","0x55d398326f99059ff775485246999027b3197955","18","bsc","20","15","0.04"
"UNI","binance","UNIUSDT","0xbf5140a22578168fd562dccf235e5d43a02ce9b1","18","XVS","XVSUSDT","0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63","18","bsc","20","15","0.04"
"UNI","binance","UNIUSDT","0xbf5140a22578168fd562dccf235e5d43a02ce9b1","18","USDT","","0x55d398326f99059ff775485246999027b3197955","18","bsc","20","15","0.04"
"UNI","binance","UNIUSDT","0xbf5140a22578168fd562dccf235e5d43a02ce9b1","18","LTC","LTCUSDT","0x4338665cbb7b2485a8855a139b75d5e34ab0db94","18","bsc","20","15","0.04"
"WIN","binance","WINUSDT","0xaef0d72a118ce24fee3cd1d43d383897d05b4e99","18","USDT","","0x55d398326f99059ff775485246999027b3197955","18","bsc","20","15","0.04"
"XLM","binance","XLMUSDT","0x43c934a845205f0b514417d757d7235b8f53f1b9","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","20","15","0.04"
"XUSD","binance","XUSDUSDT","0xf81ac2e1a0373dde1bce01e2fe694a9b7e3bfcb9","6","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","20","15","0.04"
"XVS","binance","XVSUSDT","0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63","18","USDT","","0x55d398326f99059ff775485246999027b3197955","18","bsc","20","15","0.04"
"ZRO","binance","ZROUSDT","0x6985884c4392d348587b19cb9eaaf157f13271cd","18","USDT","","0x55d398326f99059ff775485246999027b3197955","18","bsc","20","15","0.04"
"1MBABYDOGE","binance","1MBABYDOGEUSDT","0xac57de9c1a09fec648e93eb98875b212db0d460b","15","ETH","ETHUSDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"ABYSS","indodax","abyssidr","0x0E8d6b471e332F140e7d9dbB99E5E3822F728DA6","18","ETH","ethidr","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"ALTLAYER","indodax","altlayeridr","0x8457CA5040ad67fdebbCC8EdCE889A335Bc0fbFB","18","ETH","ethidr","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"BAT","binance","BATUSDT","0x0d8775f648430679a709e98d2b0cb6250d2887ef","18","BNT","BNTUSDT","0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C","18","ethereum","30","20","0.06"
"BAT","gate","BAT_USDT","0x0d8775f648430679a709e98d2b0cb6250d2887ef","18","BNT","BNT_USDT","0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C","18","ethereum","30","20","0.06"
"EFI","indodax","efiidr","0x656C00e1BcD96f256F224AD9112FF426Ef053733","18","ETH","ethidr","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"ENJ","indodax","enjidr","0xF629cBd94d3791C9250152BD8dfBDF380E2a3B9c","18","ETH","ethidr","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"EPIC","binance","EPICUSDT","0x94314a14df63779c99c0764a30e0cd22fa78fc0e","18","ETH","ETHUSDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"FANC","indodax","fancidr","0xbB126042235E6bD38B17744cb31a8bF4A206c045","18","ETH","ethidr","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"GLCH","indodax","glchidr","0x038a68FF68c393373eC894015816e33Ad41BD564","18","ETH","ethidr","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"MDT","binance","MDTUSDT","0x814e0908b12a99fecf5bc101bb5d0b8b5cdf7d26","18","ETH","ETHUSDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"ORC","indodax","orcidr","0x662b67d00A13FAf93254714DD601F5Ed49Ef2F51","18","ETH","ethidr","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"POLY","indodax","polyidr","0x9992eC3cF6A55b00978cdDF2b27BC6882d88D1eC","18","ETH","ethidr","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"SFI","indodax","sfiidr","0xb753428af26E81097e7fD17f40c88aaA3E04902c","18","ETH","ethidr","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"SKYA","indodax","skyaidr","0x623cD3a3EdF080057892aaF8D773Bbb7A5C9b6e9","18","ETH","ethidr","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"SKYA","mexc","SKYAUSDT","0x623cD3a3EdF080057892aaF8D773Bbb7A5C9b6e9","18","ETH","ETHUSDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"TEN","indodax","tenidr","0xDD16eC0F66E54d453e6756713E533355989040E4","18","ETH","ethidr","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"VIC","binance","VICUSDT","0x05d3606d5c81eb9b7b18530995ec9b29da05faba","18","ETH","ETHUSDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"WOZX","indodax","wozxidr","0x34950Ff2b487d9E5282c5aB342d08A2f712eb79F","18","ETH","ethidr","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"1INCH","binance","1INCHUSDT","0x111111111117dc0aa78b770fa6a738034120c302","18","BNT","BNTUSDT","0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C","18","ethereum","30","20","0.06"
"1INCH","gate","1INCH_USDT","0x111111111117dc0aa78b770fa6a738034120c302","18","BNT","BNT_USDT","0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C","18","ethereum","30","20","0.06"
"FARM","binance","FARMUSDT","0xa0246c9032bc3a600820415ae600c6388619a14d","18","BNT","BNTUSDT","0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C","18","ethereum","30","20","0.06"
"FARM","gate","FARM_USDT","0xa0246c9032bc3a600820415ae600c6388619a14d","18","BNT","BNT_USDT","0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C","18","ethereum","30","20","0.06"
"LINK","binance","LINKUSDT","0x514910771af9ca656af840dff83e8264ecf986ca","18","BNT","BNTUSDT","0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C","18","ethereum","30","20","0.06"
"LINK","gate","LINK_USDT","0x514910771af9ca656af840dff83e8264ecf986ca","18","BNT","BNT_USDT","0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C","18","ethereum","30","20","0.06"
"MDT","binance","MDTUSDT","0x814e0908b12a99fecf5bc101bb5d0b8b5cdf7d26","18","BNT","BNTUSDT","0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C","18","ethereum","30","20","0.06"
"MDT","gate","MDT_USDT","0x814e0908b12a99fecf5bc101bb5d0b8b5cdf7d26","18","BNT","BNT_USDT","0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C","18","ethereum","30","20","0.06"
"1INCH","binance","1INCHUSDT","0x111111111117dc0aa78b770fa6a738034120c302","18","ETH","ETHUSDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"1INCH","gate","1INCH_USDT","0x111111111117dc0aa78b770fa6a738034120c302","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"A2Z","binance","A2ZUSDT","0x08dcb9b5989fb09ef80e85567ec1f49577a70d29","18","ETH","ETHUSDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"A2Z","gate","A2Z_USDT","0x08dcb9b5989fb09ef80e85567ec1f49577a70d29","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"ALPA","gate","ALPA_USDT","0x7cA4408137eb639570F8E647d9bD7B7E8717514A","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"ALPHA","gate","ALPHA_USDT","0xa1faa113cbe53436df28ff0aee54275c13b40975","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"ASM","gate","ASM_USDT","0x2565ae0385659badcada1031db704442e1b69982","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"BDXN","gate","BDXN_USDT","0xbdbdbdd0c22888e63cb9098ad6d68439197cb091","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"BUSY","gate","BUSY_USDT","0x5CB3ce6D081fB00d5f6677d196f2d70010EA3f4a","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"CFG","gate","CFG_USDT","0xcccccccccc33d538dbc2ee4feab0a7a1ff4e8a94","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"CLEAR","gate","CLEAR_USDT","0x58b9cb810a68a7f3e1e4f8cb45d1b9b3c79705e8","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"COOKPROTOCOL","gate","COOKPROTOCOL_USDT","0xff75ced57419bcaebe5f05254983b013b0646ef5","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"CRF","gate","CRF_USDT","0x508df5aa4746be37b5b6a69684dfd8bdc322219d","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"CRTS","gate","CRTS_USDT","0x678e840c640f619e17848045d23072844224dd37","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"CRVUSD","gate","CRVUSD_USDT","0xf939e0a03fb07f59a73314e73794be0e57ac1b4e","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"DHV","gate","DHV_USDT","0x62Dc4817588d53a056cBbD18231d91ffCcd34b2A","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"DIS","gate","DIS_USDT","0x220B71671b649c03714dA9c621285943f3cbcDC6","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"EMPIRE","gate","EMPIRE_USDT","0x9A2Af0AbB12bee5369B180976Be01E8c80D0e7B6","9","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"ERA","binance","ERAUSDT","0xe2ad0bf751834f2fbdc62a41014f84d67ca1de2a","18","ETH","ETHUSDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"ERA","gate","ERA_USDT","0xe2ad0bf751834f2fbdc62a41014f84d67ca1de2a","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"FARM","binance","FARMUSDT","0xa0246c9032bc3a600820415ae600c6388619a14d","18","ETH","ETHUSDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"FARM","gate","FARM_USDT","0xa0246c9032bc3a600820415ae600c6388619a14d","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"FIRE","gate","FIRE_USDT","0xf921ae2dac5fa128dc0f6168bf153ea0943d2d43","8","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"FOURCOIN","gate","FOURCOIN_USDT","0x244b797d622d4dee8b188b03546acaabd0cf91a0","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"GAME2","gate","GAME2_USDT","0x825459139c897d769339f295e962396c4f9e4a4d","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"GOG","gate","GOG_USDT","0x9ab7bb7fdc60f4357ecfef43986818a2a3569c62","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"HEI","gate","HEI_USDT","0xf8f173e20e15f3b6cb686fb64724d370689de083","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
